name,x,y
crumpet,5.0393295,4.4630537
cubanelle_pepper,5.412475,4.6091065
cucumber,6.3732896,7.4870257
cudweed,4.9744153,8.933255
culantro,7.279456,8.847057
cumin,6.538421,6.6156864
curd,8.163726,6.5852113
cured_chicken,5.472509,9.79607
cured_duck,5.3791556,9.2595
cured_fish,5.9278316,9.155462
curing_salt,5.173628,6.8139753
curry,6.01003,6.109328
curry_leaf,8.074369,6.6612515
curry_paste,5.90005,8.697399
curry_powder,6.0168395,6.0090647
custard,1.40744,7.150369
custard_powder,1.7782071,7.378865
cynar,0.13269697,5.403035
dace,5.0788574,9.244831
daikon,6.0052023,8.425851
damson,1.2737553,6.2412777
dandelion,5.352486,5.9327707
dango,2.961756,8.02882
dark_soy_sauce,6.429038,8.6528845
dashi,5.490532,8.134086
date,1.6652687,5.8807135
daylily_flower,5.6711025,9.895745
deer_mushroom,5.011006,9.550644
demi_glace,5.212682,5.434657
denbu,5.411329,7.934123
dextrose,1.5535691,6.764747
digestive_biscuit,1.4799701,7.2642484
dijonnaise,5.5703354,4.3938084
dill,5.762428,5.887321
doenjang,5.6520586,9.79189
donburi_sauce,5.6325817,9.875978
dong_leaf,3.0757296,8.338657
donkey_meat,5.2992387,9.867329
dory,6.434405,9.6209545
doubanjiang,6.227096,8.713774
dough,2.0463698,6.8757873
dough_improver,2.1495314,7.079594
doughnut,1.0106043,6.770262
dragon_fruit,2.178406,7.9135485
dragon_whisker_vegetable,5.6424294,9.663356
drambuie,0.2546937,5.5512333
dried_ganba_mushroom,5.739873,9.935753
dried_lily_bud,5.867016,9.014174
dried_orchid_flower,5.6138835,9.841585
dried_oyster,5.14672,9.181284
dried_scallop,5.4464765,8.891045
dried_shrimp,5.8413815,8.723191
dried_tangerine_peel,3.5450711,8.919707
dried_tofu,5.887318,8.954909
dried_vegetable,5.557196,9.169987
dry_pot_sauce,5.944211,9.742442
dubonnet,0.24794361,5.3136053
duck,4.638841,8.5609045
duck_egg,5.910219,8.920822
duck_fat,4.68808,5.7326055
duck_sauce,5.3870854,5.0854454
duck_stock,5.2117763,6.9358544
dukkah,4.759174,5.3700514
dulce_de_leche,1.2033286,6.461288
dumpling,5.6095314,8.450101
dumpling_wrapper,5.749435,8.915944
durian,2.1471257,7.712093
earl_grey_tea,1.8186039,7.463716
edam_cheese,5.6004434,4.3490114
edamame,5.8912106,8.888714
edible_flower,2.327329,8.056423
edible_gold_leaf,1.2919046,7.1525626
eel,6.1984763,9.193226
egg,1.8160708,6.357618
egg_noodle,6.035198,4.0728874
egg_roll,5.6607075,7.1391854
egg_roll_wrapper,5.773698,4.028967
egg_substitute,2.5061429,6.5587645
egg_tofu,5.9491067,8.9852915
egg_white,1.673079,6.3298635
egg_yolk,1.6559736,6.2265334
eggnog,0.7434933,6.503281
eggplant,6.050024,6.345217
einkorn,2.9578376,5.4891715
elderberry,0.9783605,6.2799788
elderflower,0.42406037,5.6141677
elderflower_liqueur,0.2504634,5.704293
emmental_cheese,5.212629,4.501373
empanada_shell,6.600425,4.462653
enchilada_sauce,6.545252,4.08178
endive,5.2690578,5.9395785
english_muffin,5.494725,4.1657095
enoki_mushroom,5.994232,8.684223
epazote,6.8359704,4.2864547
epiphyllum_flower,4.212472,9.174573
er_cai,5.7304034,9.486638
erythritol,2.1587749,7.4639134
escarole,5.42386,5.0570183
espelette_pepper,5.2645264,5.6712537
evaporated_milk,1.672789,6.945064
ezine_cheese,3.285541,5.25857
fajita_seasoning,6.555529,4.1680136
falafel,4.5255117,5.5748134
falernum,0.113270074,5.3904414
farina,1.9015571,6.232281
farmer_cheese,5.283649,4.3029037
farro,4.792281,5.6501365
fava_bean,6.050659,7.772938
feijoa,2.1005492,6.132362
fennel,5.630672,5.979904
fennel_pollen,5.2628727,5.3215475
fennel_seed,6.16465,6.925069
fenugreek_leaf,8.102968,6.5050755
fenugreek_seed,7.9990473,6.6621976
fermentation_starter_cake,3.01834,7.841349
fermented_black_bean,6.343312,8.857398
fermented_chive_flower_paste,5.5028505,9.802002
fermented_fish,7.2508373,9.021127
fermented_glutinous_rice,3.7489839,9.028654
fermented_tofu,6.506471,8.935164
fermented_vegetable_brine,5.9856696,9.744854
fern,6.0827065,9.49198
feta_cheese,5.27122,5.502123
fiddlehead_fern,5.8968487,9.232042
fideo,6.679976,5.235256
fig,1.5860556,5.788195
file_powder,6.0954895,4.77584
filefish,5.892355,9.835295
fines_herbes,5.3652,5.27504
fish,6.213019,7.6093173
fish_ball,5.9588685,8.819359
fish_cake,5.93802,8.46267
fish_floss,4.994479,8.512023
fish_maw,4.2701907,9.133229
fish_mint,6.0000877,9.035065
fish_noodle,5.6379166,9.496595
fish_oil,7.0879354,8.268442
fish_paste,5.406471,8.987545
fish_roe,5.7116785,8.231767
fish_sauce,6.6945443,8.289681
fish_sausage,5.318145,8.823583
fish_skin,5.5077276,9.445192
fish_stock,6.0385165,6.786155
fish_tofu,5.812453,8.984812
five_grain_powder,3.011881,8.06342
five_spice_powder,6.1639585,8.728006
five_willow_vegetable,6.4915733,9.372908
flageolet_bean,5.0716414,5.058154
flatbread,4.95819,7.8600607
flattened_young_rice,8.065318,6.5342216
flaxseed,2.5368524,6.7985115
flaxseed_oil,4.7918468,8.237347
flounder,6.063885,7.036169
flour,1.8203666,6.371179
flour_tortilla,6.4583507,4.0992703
foie_gras,4.7821956,8.37296
fondant,1.1518514,7.0864105
fontina_cheese,5.070901,4.5166864
food_coloring,0.8679697,6.8104153
fox_nut,3.5201957,8.865581
frangipane,1.0816183,6.1994767
freekeh,4.458083,5.5058107
french_dressing,5.962166,4.061455
fresno_pepper,6.397687,5.3249736
fried_bread,6.7171125,4.2107344
fried_dough_twist,5.7865577,9.828024
fried_gluten_ball,5.394841,9.312921
fried_puffed_cracker,7.2625084,9.007211
fried_tofu_puff,6.0465994,8.595105
frisee,4.9765186,5.5969586
frog_leg,6.3456817,9.3395195
fromage_blanc,1.9903876,5.760643
frosting,1.0713595,6.7687955
